<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.01.01	1.08372	1.08465	1.08228	1.08307	1245	0	26
2014.01.02	1.08302	1.08956	1.08151	1.08750	47039	0	1
2014.01.03	1.08750	1.09048	1.08009	1.08059	42596	0	1
2014.01.06	1.08267	1.08599	1.07962	1.08129	39268	0	1
2014.01.07	1.08132	1.08271	1.07540	1.07600	41255	0	1
2014.01.08	1.07620	1.07867	1.07506	1.07561	42688	0	2
2014.01.09	1.07563	1.07916	1.07349	1.07893	39522	0	1
2014.01.10	1.07893	1.08477	1.07776	1.08279	39165	0	1
2014.01.13	1.08434	1.08614	1.07945	1.08065	44412	0	1
2014.01.14	1.08062	1.08099	1.06718	1.07049	43065	0	1
2014.01.15	1.07041	1.07139	1.06405	1.06872	41670	0	1
2014.01.16	1.06867	1.06989	1.05416	1.05573	45172	0	1
2014.01.17	1.05575	1.06462	1.05563	1.06194	35904	0	1
2014.01.20	1.06312	1.07042	1.05724	1.05759	30243	0	1
2014.01.21	1.05759	1.06024	1.05631	1.05863	36708	0	2
2014.01.22	1.05884	1.06718	1.05709	1.06471	38874	0	2
2014.01.23	1.06467	1.06703	1.05294	1.05525	48730	0	1
2014.01.24	1.05515	1.05871	1.04913	1.05634	48387	0	2
2014.01.27	1.05519	1.06282	1.05485	1.06125	42219	0	1
2014.01.28	1.06125	1.06532	1.05931	1.06260	41124	0	2
2014.01.29	1.06254	1.06717	1.05597	1.06312	45002	0	1
2014.01.30	1.06310	1.07930	1.06288	1.07580	45453	0	1
2014.01.31	1.07583	1.08295	1.07267	1.08183	41947	0	1
2014.02.03	1.08184	1.08760	1.07729	1.08280	42869	0	1
2014.02.04	1.08283	1.09463	1.08118	1.08362	50838	0	1
2014.02.05	1.08362	1.08720	1.08189	1.08501	49923	0	1
2014.02.06	1.08506	1.09041	1.08289	1.08583	48758	0	1
2014.02.07	1.08607	1.08856	1.07908	1.07939	45714	0	1
2014.02.10	1.08108	1.08268	1.07814	1.08144	28708	0	4
2014.02.11	1.08152	1.08664	1.08122	1.08574	36783	0	1
2014.02.12	1.08574	1.08722	1.08215	1.08278	34913	0	1
2014.02.13	1.08281	1.08465	1.07354	1.07575	38011	0	1
2014.02.14	1.07576	1.07979	1.07560	1.07850	33245	0	1
