<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.01.01	23:00:00	1.08372	1.08465	1.08228	1.08307	1245	0	26
2014.01.02	00:00:00	1.08302	1.08474	1.08151	1.08335	1386	0	20
2014.01.02	01:00:00	1.08333	1.08475	1.08269	1.08362	2131	0	20
2014.01.02	02:00:00	1.08368	1.08465	1.08293	1.08317	3359	0	20
2014.01.02	03:00:00	1.08319	1.08484	1.08290	1.08445	2844	0	20
2014.01.02	04:00:00	1.08441	1.08481	1.08355	1.08389	1747	0	20
2014.01.02	05:00:00	1.08395	1.08511	1.08337	1.08390	2382	0	20
2014.01.02	06:00:00	1.08395	1.08472	1.08376	1.08420	1538	0	20
2014.01.02	07:00:00	1.08415	1.08506	1.08394	1.08483	1157	0	20
2014.01.02	08:00:00	1.08477	1.08639	1.08427	1.08580	1644	0	2
2014.01.02	09:00:00	1.08576	1.08642	1.08442	1.08442	1879	0	6
2014.01.02	10:00:00	1.08447	1.08644	1.08416	1.08620	1569	0	3
2014.01.02	11:00:00	1.08616	1.08673	1.08476	1.08577	1769	0	5
2014.01.02	12:00:00	1.08567	1.08658	1.08535	1.08592	2423	0	6
2014.01.02	13:00:00	1.08592	1.08660	1.08545	1.08582	2322	0	7
2014.01.02	14:00:00	1.08586	1.08631	1.08477	1.08623	2147	0	8
2014.01.02	15:00:00	1.08623	1.08774	1.08573	1.08639	3648	0	6
2014.01.02	16:00:00	1.08638	1.08764	1.08525	1.08709	3683	0	9
2014.01.02	17:00:00	1.08706	1.08862	1.08629	1.08780	2357	0	1
2014.01.02	18:00:00	1.08781	1.08841	1.08707	1.08822	1287	0	14
2014.01.02	19:00:00	1.08822	1.08835	1.08714	1.08764	1211	0	11
2014.01.02	20:00:00	1.08764	1.08938	1.08756	1.08930	1409	0	11
2014.01.02	21:00:00	1.08930	1.08956	1.08799	1.08810	1190	0	14
2014.01.02	22:00:00	1.08805	1.08935	1.08780	1.08804	1272	0	4
2014.01.02	23:00:00	1.08799	1.08833	1.08715	1.08750	685	0	34
2014.01.03	00:00:00	1.08750	1.08809	1.08691	1.08779	854	0	9
2014.01.03	01:00:00	1.08777	1.08820	1.08449	1.08449	1124	0	6
2014.01.03	02:00:00	1.08449	1.08688	1.08443	1.08613	1675	0	11
