,n_period,threshold,cutoff,return,drawdown,sharpe,,Row Labels,Average of return,,,
1035,150,2.5,0.1,0.858735574,4.623003574,-0.105238501,,1,-0.820954402,,,
1036,150,2.5,0.2,0.858735574,4.623003574,-0.105238501,,1.1,-0.77240782,,,
1037,150,2.5,0.3,0.858735574,4.623003574,-0.105238501,,1.2,-0.593641299,,,
1038,150,2.5,0.4,0.858735574,4.623003574,-0.105238501,,1.3,-0.443013054,,,
1039,150,2.5,0.5,0.858735574,4.623003574,-0.105238501,,1.4,-0.408546015,,,
1040,150,2.5,0.6,0.858735574,4.623003574,-0.105238501,,1.5,-0.291621211,,,
1041,150,2.5,0.7,0.858735574,4.623003574,-0.105238501,,1.6,-0.139728106,,,
1042,150,2.5,0.8,0.858735574,4.623003574,-0.105238501,,1.7,-0.124245189,,,
1043,150,2.5,0.9,0.858735574,4.623003574,-0.105238501,,1.8,-0.092114187,,,
513,120,2.7,0.1,0.881314324,1.582658926,-0.112404264,,1.9,0.016715532,,,
514,120,2.7,0.2,0.881314324,1.582658926,-0.112404264,,2,0.100761936,,,
515,120,2.7,0.3,0.881314324,1.582658926,-0.112404264,,2.1,0.232712295,,,
516,120,2.7,0.4,0.881314324,1.582658926,-0.112404264,,2.2,0.294241426,,,
517,120,2.7,0.5,0.881314324,1.582658926,-0.112404264,,2.3,0.342626282,,,
518,120,2.7,0.6,0.881314324,1.582658926,-0.112404264,,2.4,0.378281685,,,
519,120,2.7,0.7,0.881314324,1.582658926,-0.112404264,,2.5,0.331775126,,,
520,120,2.7,0.8,0.881314324,1.582658926,-0.112404264,,2.6,0.247983882,,,
521,120,2.7,0.9,0.881314324,1.582658926,-0.112404264,,2.7,0.169429728,,,
1197,160,2.3,0.1,0.721069734,7.053210775,-0.123363886,,2.8,0.099519905,,,
1198,160,2.3,0.2,0.721069734,7.053210775,-0.123363886,,2.9,0.020939288,,,
1199,160,2.3,0.3,0.721069734,7.053210775,-0.123363886,,(blank),,,,
1200,160,2.3,0.4,0.721069734,7.053210775,-0.123363886,,Grand Total,-0.07256421,,,
1201,160,2.3,0.5,0.721069734,7.053210775,-0.123363886,,,,,,
1202,160,2.3,0.6,0.721069734,7.053210775,-0.123363886,,,,,,
1203,160,2.3,0.7,0.721069734,7.053210775,-0.123363886,,Row Labels,Average of return,,,
1204,160,2.3,0.8,0.721069734,7.053210775,-0.123363886,,100,-0.330655509,,,
